host hugepage,vm hugepage ,thread,blocksize,mode,speed,total time
0,0,1,1m,rnd,2899.34,3.5306
0,0,1,2m,rnd,2883.54,3.5499
0,0,1,4m,rnd,2854.53,3.586
0,0,1,8m,rnd,2097.72,4.8803
0,0,1,16m,rnd,1491.59,6.864
0,0,1,32m,rnd,1009.89,10.1381
0,0,1,64m,rnd,772.26,13.2582
0,0,1,128m,rnd,569.2,17.9886
0,0,1,256m,rnd,488.84,20.9462
0,0,1,512m,rnd,456.94,22.4083
0,0,1,1024m,rnd,438.67,23.3291
1,1,1,1m,rnd,2882.22,3.5516
1,1,1,2m,rnd,2928.46,3.4954
1,1,1,4m,rnd,2900.96,3.5287
1,1,1,8m,rnd,2437.18,4.2004
1,1,1,16m,rnd,1725.97,5.9318
1,1,1,32m,rnd,1184.13,8.6465
1,1,1,64m,rnd,966.47,10.594
1,1,1,128m,rnd,883.67,11.5868
1,1,1,256m,rnd,811.25,12.6211
1,1,1,512m,rnd,776.97,13.178
1,1,1,1024m,rnd,735.32,13.9242
0,1,1,1m,rnd,2800.66,3.5544
0,1,1,2m,rnd,2781.13,3.613
0,1,1,4m,rnd,2762.31,3.8135
0,1,1,8m,rnd,1950.79,5.1646
0,1,1,16m,rnd,1397.46,6.9631
0,1,1,32m,rnd,1250.46,9.5031
0,1,1,64m,rnd,831.64,12.9462
0,1,1,128m,rnd,703.49,14.5623
0,1,1,256m,rnd,593.43,17.5631
0,1,1,512m,rnd,520.92,19.0031
0,1,1,1024m,rnd,500.34,19.50231
1,0,1,1m,rnd,2877.76,3.5544
1,0,1,2m,rnd,2912.99,3.5141
1,0,1,4m,rnd,2772.27,3.6913
1,0,1,8m,rnd,1985.92,5.1551
1,0,1,16m,rnd,1496.055556,6.84351
1,0,1,32m,rnd,1079.811111,9.47988
1,0,1,64m,rnd,836.7555556,12.23262
1,0,1,128m,rnd,713.2875,14.35512
1,0,1,256m,rnd,617.85,16.572
1,0,1,512m,rnd,547.8375,18.68648
1,0,1,1024m,rnd,531.575,19.256
